idaluno,idturma,motivoinativacao,nomedisciplina,notafase,nomefase,idfasenota,numerofase,idade,corraca,sexo,datasituacaoativo,datasituacaoinativo,datahoraefetivacaomatricula,diasmatriculado,inativo
277,186,,INGLÊS,0.0,DIAGNOSTICA 2,245,4,15.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-07-23 14:17:00,160.0,False
263,194,,INGLÊS,5.0,DIAGNOSTICA 2,245,4,14.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-21 00:00:00,344.0,False
181,273,,INGLÊS,3.5,MÉDIA DIAGNÓSTICA,283,5,17.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-27 00:00:00,307.0,False
273,181,,MATEMÁTICA,5.5,DIAGNOSTICA 2,239,4,15.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-21 00:00:00,344.0,False
307,203,,MATEMÁTICA,5.0,DIAGNOSTICA 1,248,1,16.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
29,300,,INGLÊS,9.0,MÉDIA ANUAL,282,6,19.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-27 00:00:00,307.0,False
26,303,,INGLÊS,4.5,DIAGNOSTICA 1,278,1,19.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-28 00:00:00,306.0,False
32,286,,INGLÊS,9.5,2º SEMESTRE,280,3,19.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-27 00:00:00,307.0,False
164,203,,MATEMÁTICA,7.5,MÉDIA ANUAL,252,6,17.0,P,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
159,243,,MATEMÁTICA,5.5,MÉDIA DIAGNÓSTICA,253,5,18.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
347,249,,PORTUGUÊS,6.0,1º SEMESTRE,249,2,16.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-19 00:00:00,346.0,False
334,190,,INGLÊS,0.0,MÉDIA DIAGNÓSTICA,247,5,16.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
154,409,,PORTUGUÊS,3.5,MÉDIA ANUAL,258,6,17.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-21 00:00:00,344.0,False
199,186,,PORTUGUÊS,6.5,1º SEMESTRE,243,2,14.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
3,210,,MATEMÁTICA,6.5,MÉDIA ANUAL,270,6,19.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
243,199,,PORTUGUÊS,7.0,DIAGNOSTICA 1,254,1,17.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
